21,200004,1,1,32.0,120,78.3265306122449,97.17311871658804
45,200004,0,1,48.0,10,81.51162790697674,99.59533174069199
45,200004,0,1,48.0,120,87.58823529411767,99.05750818203482
21,200004,0,0,40.0,120,78.54347826086956,99.58662566692742
21,200004,0,0,24.0,120,73.34117647058824,98.97616626045598
84,200005,1,2,36.0,0,67.21276595744679,98.48651123790104
84,200005,1,2,36.0,0,67.7948717948718,95.83686859329086
84,200005,1,2,36.0,0,67.05128205128206,98.07684646232426
45,200007,0,0,24.0,120,78.62352941176471,99.64682451356165
45,200007,1,1,24.0,200,76.69333333333333,99.56722134871859
45,200007,1,1,24.0,200,74.47712418300654,98.94121967118731
2,200008,1,0,8.0,0,80.42857142857143,97.93837935793974
42,200008,1,1,nan,201,83.06060606060606,99.61520830872836
42,200008,1,1,32.0,120,75.0,100.0
31,200008,1,0,60.0,10,86.10204081632654,99.54118725203152
21,200009,1,2,48.0,120,83.32727272727273,98.79807282640444
21,200009,1,2,32.0,120,75.66666666666667,99.63284463763488
47,200012,0,1,32.0,20,81.8,99.11185707441209
47,200012,0,1,128.0,10,81.3,96.4814346878472
21,200010,0,0,24.0,200,80.44615384615385,99.08558985306152
45,200104,0,1,24.0,200,77.71686746987952,99.13829482245285
45,200104,0,1,24.0,200,78.92045454545455,99.19003551575285
7,200108,0,6,48.0,0,90.66388888888888,99.1248253395577
7,200108,0,6,48.0,0,84.75428571428571,99.6058345375558
7,200108,0,6,48.0,0,83.28333333333332,99.73881816472635
7,200108,0,6,48.0,0,84.85405405405405,99.93382276910351
45,200108,0,0,32.0,20,84.65384615384616,97.30223993023266
45,200108,1,2,24.0,120,77.22950819672131,99.12781734587341
45,200108,1,2,40.0,21,67.27692307692307,98.99773133564423
21,200109,0,1,32.0,120,84.59649122807018,99.51454053869135
21,200109,0,1,32.0,20,80.52083333333333,99.5762085525198
21,200109,1,0,32.0,20,87.4864864864865,98.57793059384451
