27,0,0,0,0,27,0,0,0,0,26,0,1,0,0,26,1,0,0,0,26,1,0,0,0,27,27,00701053,20170100701053001,02099
29,1,0,0,0,29,1,0,0,0,30,0,0,0,0,29,1,0,0,0,30,0,0,0,0,30,30,00701211,20170200701211001,02099
26,0,0,0,0,25,1,0,0,0,25,1,0,0,0,25,1,0,0,0,26,0,0,0,0,26,26,00701233,20170100701233001,02110
46,1,0,0,0,45,1,1,0,0,46,1,0,0,0,46,1,0,0,0,46,1,0,0,0,48,47,00701134,20170100701134004,02115
49,0,0,0,0,49,0,0,0,0,49,0,0,0,0,47,2,0,0,0,49,0,0,0,0,50,49,00701245,20170100701245004,02115
54,0,1,0,0,54,0,1,0,0,54,0,1,0,0,54,0,1,0,0,54,0,1,0,0,55,55,03601144,20180203601144074,02120
76,1,0,0,0,77,0,0,0,0,76,1,0,0,0,76,1,0,0,0,75,2,0,0,0,77,77,00701244,20170100701244004,02121
193,26,4,0,0,185,35,3,0,0,185,32,6,0,0,180,37,6,0,0,189,27,7,0,0,223,223,00200411,20170100200411001,03022
34,2,0,0,0,34,2,0,0,0,33,2,1,0,0,34,2,0,0,0,33,3,0,0,0,36,36,00701047,20170100701047001,03051
31,0,0,0,0,31,0,0,0,0,31,0,0,0,0,31,0,0,0,0,31,0,0,0,0,31,31,00701210,20170100701210001,03051
16,3,0,0,0,16,3,0,0,0,16,2,1,0,0,16,3,0,0,0,16,3,0,0,0,19,19,00300297,20170100300297001,03052
63,5,1,0,0,62,7,0,0,0,63,5,1,0,0,64,4,1,0,0,63,6,0,0,0,69,69,01500250,20180201500250002,94110
37,5,0,0,0,38,4,0,0,0,35,7,0,0,0,37,5,0,0,0,37,5,0,0,0,44,42,00700779,20170100700779001,03055
39,1,0,0,0,37,3,0,0,0,39,1,0,0,0,38,2,0,0,0,39,1,0,0,0,43,40,00700781,20170100700781001,03055
30,1,0,0,0,31,0,0,0,0,29,2,0,0,0,30,1,0,0,0,31,0,0,0,0,31,31,00701222,20170100701222001,03055
23,1,0,0,0,23,1,0,0,0,23,1,0,0,0,23,1,0,0,0,24,0,0,0,0,24,24,00701236,20170100701236001,03055
31,3,0,0,0,30,4,0,0,0,30,4,0,0,0,31,3,0,0,0,32,2,0,0,0,34,34,00700195,20180200700195001,03062
54,8,0,0,0,56,6,0,0,0,54,8,0,0,0,55,7,0,0,0,55,7,0,0,0,62,62,00500939,20170100500939001,03067
31,2,1,0,0,32,1,1,0,0,30,4,0,0,0,32,2,0,0,0,30,4,0,0,0,34,34,00500969,20170100500969001,03067
44,4,1,0,0,42,7,0,0,0,42,7,0,0,0,44,5,0,0,0,43,6,0,0,0,51,49,02900378,20160102900378001,03081
43,6,0,0,0,42,6,1,0,0,41,8,0,0,0,42,3,4,0,0,44,5,0,0,0,49,49,00800200,20170100800200001,03089
44,5,0,0,0,41,7,1,0,0,44,4,1,0,0,43,5,1,0,0,44,5,0,0,0,49,49,00800226,20170100800226001,03089
83,3,0,0,0,82,4,0,0,0,83,3,0,0,0,84,2,0,0,0,82,4,0,0,0,90,86,00700494,20170100700494003,03095
27,1,0,0,0,27,1,0,0,0,26,2,0,0,0,26,2,0,0,0,25,3,0,0,0,28,28,03601122,20170103601122071,03101
33,0,0,0,0,33,0,0,0,0,33,0,0,0,0,33,0,0,0,0,33,0,0,0,0,37,33,00900012,20170100900012132,03107
29,1,0,0,0,27,3,0,0,0,28,2,0,0,0,28,2,0,0,0,27,3,0,0,0,30,30,03601185,20170203601185128,03121
